"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Dmitri Mendeleev","Seamount",,"N. A. Marova, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"Russian research vessel ""Dmitriy Mendeleev""",,"Named after R/V Dmitri Mendeleev, which discovered this feature.","Shown as Dmitri Mendeleyev Seamount in ACUF Gazetteer.","POINT (154.966667 4.866667)",
"Dmitriev","Seamount","SCUFN-22","Natalya N. Turko and Ksenia O. Dobrolyubova, Geological Institute of the Russian  Academy of Sciences (GIN RAS)",,"Russian research vessel ""Akademik Nikolay Strakhov""",,"Named after Leonid Vladimirovich Dmitriev (1927-2005), a professor and Russian marine geologist and petrologist, who worked at the Vernadsky Institute of Geochemistry and Analytical Chemistry of the Russian Academy of Sciences. He participated in 15 expeditions in the Pacific, Atlantic and Indian oceans where he led research projects on the basic rocks of the sea bottom. He took part in the 37th and 46th cruises of DSDP, led several international projects on mid-oceanic ridges research, and headed the Russian department on the InterRidge Project.","Minimum depth: 1509 m; Maximum depth: ~2700 m; Total relief: ~1200 m; Dimension/Size: 13 km x 17 km. This cone-shaped seamount is located in the Mid-Atlantic Ridge, at the southern flank of the Fifteen-Twenty Fracture Zone (sometimes referred to as Barracuda FZ or Cabo Verde FZ) and on the summit surface of the southern transverse ridge.","POINT (-45.265 15.095)",
"Dobrovol'sky","Seamount",,"B. N. Kotenev, Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian fisheries research vessel ""Evrika""",,"Named after the Russian oceanographer, Professor A. D. Dobrovol'sky (1907-1990), explorer of the Arctic and Pacific oceans.","Least depth: 525 m.","POINT (3.153333 -30.231667)",
"Doce","Canyon","SCUFN-24","Petróleo Brasileiro (Petrobras), Brazil, PETROBRAS - Edifício Lagoa de Imboassica, prédio 534, 2º andar, Parque de Tubos, Petrobras, Rodovia Amaral Peixoto, 11000, km 163, CEP 27925-290, Macaé, RJ, Brazil",,"Not provided",,"Proposer: PETROBRAS - Edifício Lagoa de Imboassica, prédio 534, 2º andar, Parque de Tubos, Petrobras, Rodovia Amaral Peixoto, 11000, km 163, CEP 27925-290, Macaé, RJ, Brazil (cizia@petrobras.com.br)
Date of Proposal: August 2011
Discoverer: Not provided
Date of Discovery: Year 2001

Discovered during well drilling studies in continental slope of Brazilian margin. Named to point out its likely association with the Doce River fluvial system during sea level falls.","Position: South West Atlantic
Minimum Depth: 70 m
Maximum Depth: 1955 m
Total Relief: 1885 m
Dimension/Size: 60 km long, from 700 m to 2800 m wide, from 100 m to 280 m depth","LINESTRING (-39.048 -19.532, -39.02 -19.571, -39.055 -19.621, -39.08 -19.695, -39.128 -19.738, -39.136 -19.811, -39.136 -19.865, -39.146 -19.95, -39.113 -20.036, -39.022 -20.067)",
"Dog","Knoll",,"Philippe Bouysse, French geological survey (BRGM)",,,,,"Taken from bathymetric chart entitled: Esquisse bathymétrique de l'est-Caraïbe, 1984 (accompanying BRGM Document No.93, compiled by Philippe Bouysse and others). Shown as Dog Seamount in ACUF Gazetteer.","POINT (-63.733333 18.383333)",
"Dogaressa","Bank",,,,,,,,"POINT (-33.75 -21)",
"Dogger","Bank",,,,,,,,"POINT (2.333333 54.833333)",
"Dohrn","Bank",,,,,,,,"POINT (-29.7 65.916667)",
"Doldrums","Fracture Zone",,"B. Heezen, USA",,,,,,"LINESTRING (-40.8 8.25, -37.333333 8.216667)",
"Dolgorae","Hills","SCUFN-26","Korea Committee on Geographical Names (KCGN), KCGN, 365 Seohae-Daero, Jung-gu, Incheon 400-800, Republic of Korea","2013","Korean research vessel ""Araon""","2011","Dolgorae is the Korean word for ""dolphin"". The shape of the feature is similar to that of a dolphin.","Located in Adare Basin.","MULTIPOINT ((173.1 -70.6217), (173.095 -70.6433))","POLYGON ((173.0983 -70.61, 173.0933 -70.6167, 173.075 -70.6233, 173.0917 -70.625, 173.0933 -70.6317, 173.09 -70.6333, 173.0867 -70.6433, 173.0867 -70.65, 173.11 -70.655, 173.1133 -70.6467, 173.1183 -70.6417, 173.1083 -70.6367, 173.1167 -70.63, 173.1167 -70.6183, 173.0983 -70.61))"
"Dollabarata","Reef","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Traditional name in the Azores (origin unkown).",,"POINT (-24.733333 37.216667)",
"Dolmah","Seamount","SCUFN-13",,,,,,,"POINT (-166.833333333333 -1)",
"Dolphin","Seamount","SCUFN-11",,,,,"Origin of name unknown.","Taken from NZOI bathymetric map ""Bellona."" Relief: 2500 m.","POINT (165.416667 -39.333333)",
"Dom João de Castro","Bank","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the Portuguese hydrographic survey vessel""Dom João de Castro""that surveyed the bank in 1941.","See Oliveira A., 1943. Trabalhos da Missão Hidrográfica des Ilhas Adjacentes. Banco ""D. João de Castro."" An. Clube Militar Naval. Already mentioned in numerous nautical documents. Shown as Dom João de Castro Reef in ACUF Gazetteer.","POINT (-26.6 38.216667)",
"Don Quixote","Seamount","SCUFN-11","Barbara H. Keating and Loren Kroenke, University of Hawaii at Manoa, USA",,,,"Name of an early ship (bark) visiting Hawaii in 1840. Hawaiian Registry, Judd, B. (1974)""Voyages to Hawaii before 1860,""Uni. Hawaii, Press, Honolulu, p. 30.","Although this feature lies within the Hawaiian (USA) EEZ, it is particularly significant and may appear on the GEBCO. Presented in a paper by Kroenke, Campbell and Keating (1987), Morphology of Seamounts Within the Hawaiian Exclusive Economic Zone, ""How Volcanoes Work,"" Symposium Abstract.","POINT (-173.75 24.75)",
"Donghae","Canyon","SCUFN-24","Korea Committee on Geographical Names (KCGN), KCGN, 365 Seohae-Daero, Jung-gu, Incheon 400-800, Republic of Korea",,"Korean research vessel ""Tamhae 2""",,"Proposer: Korean Committee on Geographical Names Republic of Korea, 365 Seohae-Daero, Jung-gu, Incheon 400-800, Republic of Korea (infokhoa@korea.kr)
Date of Proposal: 11 August 2011
Discoverer: Korean R/V Tamhae 2
Date of Discovery: May 2010

After discussion, the Sub-Committee decided the feature was a Canyon.
The name of Donghae Canyon is derived from the nearby city with the same name.","Position: East Sea
Minimum Depth: 155 m
Maximum Depth: 805 m
Total Relief: 650 m
Dimension/Size: Total Length: 24.3 km

Outcome: Name ACCEPTED as Donghae Canyon, with details as above.

Proposed as: Donghae Seachannel.","LINESTRING (129.36 37.693, 129.347 37.68, 129.34 37.678, 129.34 37.673, 129.332 37.67, 129.323 37.672, 129.318 37.663, 129.31 37.658, 129.303 37.655, 129.3 37.652, 129.297 37.648, 129.295 37.645, 129.292 37.642, 129.29 37.642, 129.283 37.642, 129.28 37.645, 129.275 37.645, 129.275 37.647, 129.278 37.65, 129.273 37.653, 129.268 37.652, 129.262 37.652, 129.262 37.647, 129.268 37.643, 129.272 37.642, 129.277 37.64, 129.277 37.638, 129.275 37.635, 129.268 37.633, 129.267 37.632, 129.26 37.633, 129.257 37.632, 129.258 37.628, 129.258 37.627, 129.252 37.625, 129.25 37.625, 129.245 37.627, 129.243 37.628, 129.238 37.625, 129.237 37.625, 129.227 37.625, 129.222 37.625, 129.22 37.625, 129.212 37.622, 129.208 37.62, 129.202 37.617, 129.195 37.613, 129.183 37.613, 129.177 37.615)",
"Donizetti","Seamount",,,,,,,,"POINT (-160 32.333333)",
"Donna","Ridge",,"James Hawkins, SIO","1968","U.S. research vessel ""Spencer F. Baird""","1960","Mapped by SIO's R/V Spencer F. Baird in late 1960's. Named for Donna Hawkins (late wife).",,"LINESTRING (-176.806992421352 -16.8940928654804, -177.092527742052 -16.6728029919382, -177.347130069676 -16.4443747353785, -177.389960367781 -16.4419952743727, -177.520830723101 -16.339678451122, -177.5612815602 -16.3325400681045, -177.800417391286 -16.1338550741177, -178.10379866953 -15.8673554414647, -178.238238216359 -15.7674180792198)",
"Dordrecht","Hole",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"R/V Vema (L-DGO), Cruise 18",,"Dutch East India Company (V.O.C.) Vessel Dordrecht, under Captain Frederick Houtman, explored the Australian west coast in 1619 and discovered the Abrolhos group.","Shown as Basin in the ACUF Gazetteer. Formerly, Deep.","POINT (101.333333 -33.5)",
"Dorofeev","Guyot","SCUFN-12","Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation","1997","Russian freighter FRF ""Vjandra""","1980","Named after the late Russian marine biologist Professor S. V. Dorofeev (1893-1962).",,"POINT (-84.3456929517984 -25.9376840910949)",
"Dorsey","Seamount",,,,,,,,"POINT (-156.811798093985 48.8099493086691)",
"Dos Niños","Knoll",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,,"The Knoll has 2 peaks.","POINT (-67.133333 20.683333)",
"Dosei","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Dosei""designates, in Japanese, the planet Saturn.","Relief: 1200 m; Least depth: 2790 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (136.423333 20.798333)",
"Dotson-Getz ","Trough","SCUFN-25","Frank O. Nitsche, Lamont-Doherty Earth Observatory of Columbia University, Palisades NY, U.S.A, Lamont-Doherty Earth Observatory of Columbia University, Rte. 9W, Palisades NY 10964, U.S.A","2012","Thomas B. Kellog, aboard U.S. Coast Guard icebreaker ""Glacier""","1965","The trough is the extension from the Dotson and Getz Ice Shelves and
was likely be formed by ice streams extending from these ice shelves and
the connected glaciers.",,"POLYGON ((-114.5093 -73.6948, -114.1565 -73.3302, -114.7642 -73.1395, -115.6705 -72.7578, -116.1412 -72.5752, -117.7977 -71.8335, -118.3407 -71.9478, -118.7298 -72.0668, -118.9373 -72.262, -118.1195 -72.4842, -117.669 -72.6905, -117.3598 -72.8372, -117.0727 -73.0015, -116.4072 -73.1493, -116.0328 -73.2212, -115.6547 -73.3913, -114.5093 -73.6948))",
"Douarnenez","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Douarnenez is a small town on the western Brittany coast.",,"LINESTRING (-6.2317 47.33, -6.252 47.3114, -6.2691 47.2958, -6.2956 47.2716, -6.3139 47.2444, -6.3195 47.2168, -6.3381 47.1928, -6.3722 47.1775, -6.3938 47.1633, -6.4254 47.1514, -6.4637 47.1406, -6.5011 47.127, -6.5244 47.1031, -6.5594 47.0889, -6.5951 47.09, -6.6233 47.095)",
"Dove","Knoll","SCUFN-24","Prof. Dr. Hans Werner Schenke, Alfred Wegener Institute for Polar and Marine Reasearch POB 120161 27515 Bremerhaven Germany (Hans-Werner.Schenke@AWI.de)",,"German research vessel ""Sonne""",,"Proposer: Prof. Dr. Hans Werner Schenke, Alfred Wegener Institute for Polar and Marine Reasearch POB 120161 27515 Bremerhaven Germany (Hans-Werner.Schenke@AWI.de)
Date of Proposal: 5 July 2011
Discoverer: German RV Sonne, T. Dufek, Expedition SO213/1 
Date of Discovery: 2 January 2011

Named after Heinrich Wilhelm Dove, born on October 6 1803 in Liegnitz, Prussia. He attended the University of Breslau for 3 years where he studied history, philosophy and natural sciences. He then pursued further education at the University of Berlin from 1824 to 1826, and in 1838, Dove became an associate professor at the University of Königsberg. One year later, he assumed an associate professor position at the world renowned University of Berlin.","Position: South East Pacific
Minimum Depth: 2756 m
Maximum Depth: 3494 m
Total Relief: 737 m
Dimension/Size: 7 × 5.5 km²","POINT (-91.93 -37.341)",
"Dowd","Guyot","SCUFN-23",,,,,"Dowd was a graduate student who lost his life on an expedition in the area.","Adopted from the ACUF Gazetteer.","POINT (-119.65 13.45)",
"Downwind","Seamount",,,,,,,,"POINT (-114.783333 16.616667)",
"Doyo","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Doyo""is the Japanese term for""Saturday.""","Relief: 2500 m; Least depth: 371 m.","POINT (140.8 27.673333)",
"Dragon","Bank",,,,,,,"Shown as Seamount in the ACUF Gazetteer.","POINT (-16.5 34.916667)",
"Dreadnought","Bank",,,,,,,,"POINT (95.833333 6.666667)",
"Drepano","Seamount",,,,,,,,"POINT (12.233333 38.616667)",
"Drescher","Bank","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Heinz Eberhard Drescher (1944-1983), AWI biologist who conducted marine and polar mammal research.","Least depth: 200 m.","POINT (-13.2 -71.4)",
"Druzhinin","Seamount","SCUFN-11","Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"F.R.V. ""Kulikovo Pole""",,"Named after Prof. A. D. Druzhinin (1926-1979), a Russian ichthyologist, head of the pelagic fish laboratory at the Russian Institute of Fish Economy and Fisheries. He led several expeditions in the southeast Pacific.",,"POINT (-115.553333 -35.778333)",
"Drygalski","Seamounts","SCUFN-16","Dr. Gleb B. Udintsev, GIN AN, RU",,"German research vessel ""Polarstern""",,"Named after Erich Dagobert von Drygalski (1865-1949), leader of the first German Antarctic expedition on board""Gauss""(1901-1902).","Midpoint iis on the eastern base of Bruce Ridge. Relief: ~1100 m; Minimum depths: 1046 m and 1250 m.","LINESTRING (-35.996667 -59.888333, -35.993333 -59.821667)",
"Drygalski","Basin","SCUFN-25",,,,,"Named after Erich Dagobert von Drygalski (1865-1949). Leader of Antarctic expedition on board""Gauss,""1901-1902.",,"POLYGON ((167.6189575 -74.83148193, 171.348877 -74.17431641, 171.9154534 -72.99573184, 173.7145419 -72.50789841, 171.6639934 -72.46396033, 170.1174927 -73.80834961, 165.8580933 -74.65307617, 162.7767944 -75.23596191, 163.2050781 -75.74755859, 167.6189575 -74.83148193))",
"Drygalski","Ridge","SCUFN-11","Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"U.S. oceanographic research vessel ""Eltanin""; and French research and supply vessel ""Marion Dufresne""",,"Erich Von Drygalski (Germany) was leader of the Deutsche Südpolar Expedition (Gauss, 1902-1903). Considerable scientific work was done on collections made in the Kerguelen (""Gaussberg"") region.","These discoveries were made during the ""Eltanin""'s 54th cruise and ""Marion Dufresne""'s 67th cruise. This name (with Chun Spur and William's Seamount) supercedes the former William's Seamounts at position 53°20' S-81°15 'E.","LINESTRING (81.133333 -53.083333, 81.383333 -53.176667, 83 -53.75)",
"Drygalski","Canyon","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Erich Dagobert von Drygalski (1865-1949). Leader of Antarctic expedition on board""Gauss,""1901-1902.",,"LINESTRING (-10.0000000800885 -70.3999999253033, -10.233333313574 -70.2000000381726, -10.966666742381 -69.999999960044, -11.350000034463 -69.5833333216072, -13 -69)",
"Du Couedic","Canyon",,"J. J. Doyle, Australian Hydrographic Service (AHS)",,,,"Named after the adjacent Cape du Couedic, so named from the Baudin Expedition of 1802 after the French Naval Captain, Le Chevalier du Couedic.","Taken from the AGSO bathymetric map Ceduna.","LINESTRING (135.583333 -37.25, 136.416667 -36.75)",
"Duarte Pacheco","Spur","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after 1) Portuguese Cosmographer and Discoverer (XVth Century), and 2) Portuguese Engineer (1899-1943).",,"POINT (-10.666667 39.583333)",
"Dubinin","Trough",,"Vladimir G. Kort, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"R/V Ob",,"Named after the Polar Captain A. I. Dubinin (1808-1963). Dubinin was the captain of the Research Vessels""Lena""(1956-1958) and""Ob""(1958-1961).",,"LINESTRING (80.91666667 -67.666667, 79.2281413035077 -67.6428873104043, 78 -68)",
"Dumshaf","Abyssal Plain",,,,,,,"Shown as Dumshaf Plain in the ACUF Gazetteer.","POINT (4 70)",
"Durgin","Guyot",,,,,,,,"POINT (-141.870714719028 55.7945448146363)",
"Durham","Seamount","SCUFN-16","RAdm. Thomas Q. Donaldson, US NAVMETOCCOM",,"SIO R/V Thomas Washington",,"Named for Dr. Donald L. Durham, a prime leader of U.S. Naval Oceanography technical development.","Relief: 3100 m. Shown as Durham Ridge in ACUF Gazetteer.","POINT (-160.416667 -28.333333)",
"Dusky","Ridge","SCUFN-25","New Zealand Geographic Board (NZGB), New Zealand Board of Geographical Names (NZGB),
GNS Science, 1 Fairway Drive Avalon, Lower Hutt, Wellington, New Zealand","2012","Not provided",,"Named from the nearby Dusky Sound.","A NE-SW trending ridge at the southern end of Fiordland Basin, offshore southwest New Zealand. References: Mitchell & Garlick, 2001 (Dusky Chart).","MULTILINESTRING ((165.93259572252 -45.7484773950491, 165.821778393189 -45.8090678472747, 165.770573149456 -45.8510106380237, 165.652446842252 -45.911745196515, 165.597820104944 -45.9367495591384))",
"DuToit","Fracture Zone",,"Hugh W. Bergh and I. Norton, Wits Bernard Price Institute (BPI), South Africa",,"South African fisheries research vessel ""Africana II""",,"Named in commemoration of Alex DuToit, South African geologist, a 1920-1930s pioneer in continental drift renaissance.","Mapped by R/V Agulhas, RSA and R/V Melville (SIO) (1984).","LINESTRING (25.5 -53, 30.166667 -46)",
